querulous 抱怨的，发牢骚的
rote 死记硬背
contrive 设计
wide ranging 广泛的
baffle 使困惑
allegory 象征；寓言
forthright 直接的，坦率的
aver 断言
nefarious 邪恶的，恶毒的
proselytize 极力劝诱某人加入
resent 怨恨，憎恨
enhance 提高，改善
heresy 异端
spontaneous 自发的
impersonal 非主观的，客观的
exceptional 不寻常的；杰出的
tempestuous 暴乱的，剧烈的
finicky 过分讲究的，挑剔的
amass 聚集，积累
patronize 以高人一等的态度去对待；支持
avert 转移；防止
harrow 使苦恼
compile 汇编
ritualize 使...程式化
arboreal 树木的；树栖的
satire 讽刺
volition 意志力
innate 天生的
complimentary 赞美的
loathe 讨厌
exhaustive 全面的
poignant 令人沉痛的；深刻的
captivate 迷住
don 穿上
milieu 社会背景，周围环境
portend 预言
regimen 养生；养生之道
haphazard 随意的
vacuous 空洞的
external 外部的
tractable 驯服的，温顺的
ponderous 笨重的
preclude 排除，防止
valorize 称赞
allegiance 忠诚，效忠
condemn 谴责
forsake 抛弃
unconscionable 不合理的
simultaneous 同时发生的
millstone 重担
sacrosanct 神圣不可改变的
restrain 阻止；控制
divisive 引起纷争的
ill advised 不明智的
lament 悲痛，哀悼；抱怨
masculine 男性的，男子气概的
routine 平凡乏味的
furtive 鬼鬼祟祟的
depressing 令人沮丧的
trenchant 有力的，有效的
confront 与...对峙
fluctuate 波动，摇摆不定
serendipity 意外发现珍宝的运气
indiscriminate 肆意的，不加区别的；盲目的
bristle 发怒
onset 开始
cardinal 主要的，基本的
inadvertent 不认真的
prosecute 起诉
deferential 恭敬的
occasion 引起
morbid 病态的
scintillating 闪烁的，才华横溢的
medley 混合物
passive 被动的
inhibit 抑制，禁止
outdo 超过
polarize 使两级分化
disjunction 分离
indecorous 不合礼节的
abolish 废除
triumph 伟大胜利
negotiable 可协商的
conjecture 推测
adhere 遵守
calamity 灾难
nonchalant 冷漠的
forage 觅食
fungible 可取代的
abet 支持，怂恿
euphoria 狂喜
atomize 分裂
rescind 废除，取消
renegade 叛徒
paraphernalia 私人物品
disdain 鄙视
encroach 侵占
ennoble 使高尚
plummet (数量，价值等)下跌
ambiguous 模糊的，有歧义的
blandish 奉承，哄骗
menace 威胁
stagger 蹒跚；使迷惑
robust 健壮的；强有力的
antiquity 古物
symbiosis 共生，合作关系
energize 使...活跃
occult 神秘的
comestible 可食用的
embed 嵌入
guardian 保护人
brainchild 智慧结晶
assent 同意，赞成
vicarious 间接体验他人感受的，产生共鸣的
ruthless 无情的，残忍的
potent 有效的，有权的
aplomb 镇定，泰然自若
vilify 诽谤
accede 同意；加入
embody 象征；包括
bulwark 壁垒，堡垒
disgruntle 使不高兴
disperse 使扩散
subordinate 级别低的；次要的；下属
philistine 俗气的
nonconformist 不守成规者
skullduggery 欺诈
exclusive 独有的，排外的
monitor 观察，监视
helter skelter 杂乱的
impolitic 不明智的
contumacious 反抗权威的
obscure 不出名的；费解的；使...费解；遮盖
exonerate 免罪
unceasing 不停的
envisage 想象，设想，展望
artifact 手工制品
last ditch 孤注一掷的，最后一搏的
perpendicular 垂直的，直立的
surrogate 替代品
coruscate 闪烁
ecstasy 狂喜
catholic 广泛的，包罗万象的
mask 掩饰；面具
definite 明确的；不能更改的
eloquent 雄辩的
deduce 推论
esteem 尊重，尊敬
bathetic 陈腐的
ponder 深思熟虑
unflinching 不畏缩的
mixed 混合的；矛盾的
conviction 信念；定罪
vagary 变幻莫测，反复无常
apropos 恰好的，适当的
admirable 令人敬佩的
coterie 小团体
accrete 逐渐增长
discordance 不一致
untoward 不幸的，事与愿违的
explicable 可解释的
avian 鸟类的
perforce 一定，必须
dichotomous 二分的；矛盾的
enliven 使活泼，使生动
stanch 止血，平息
paean 赞美歌
felony 重罪
exile 流放，放逐
impudent 放肆无礼的
quench 结束，终结
roost 栖息
discharge 免除；解雇
apprentice 新手；学徒
daredevil 胆大的
stalwart 健壮的；忠实的，坚定的
hackneyed 陈腐的，平庸的
meld 混合
flinch 退缩，蜷缩
incorporate 纳入；合并
eyesore 难看的东西
concise 简明的
approbation 赞同
chagrin 失望
fraudulent 欺骗性的
captious 吹毛求疵的
callow 不成熟的
abate 减弱
rebuff 拒绝
studied 故意的，有计划的
invertebrate 无骨气的，软弱的；无脊椎的
impermanent 短暂的
excrete 痛骂，憎恶
designate 任命，指定
lachrymose 爱哭的，爱流泪的
burdensome 繁重的
restorative 恢复健康的
disgorge 排出
somnolent 昏睡的；催眠的
vault 保险库，储藏室
collective 共同的，集体的
glean 搜集，获取
commonplace 常见；陈词滥调
substantial 大量的；实质的
long 渴望
innovative 创新的
sociable 好交际的
tacit 心照不宣的，默认的
gigantic 巨大的，庞大的
apprehend 理解；担忧；逮捕
shortcoming 缺点
devolve (权利，责任等)下放；衰落
instantiate 举例说明
spiral 螺旋，旋涡
snappish 暴躁的
scenario 情节，剧本
soporific 催眠的
decry 公开谴责
perspicuous 清晰的
subtext 潜在含义
electorate 选民
craft 工艺，手艺
expediency 权宜之计
counterforce 反作用力
acclimate 使适应
pronounced 显著的
eminent 杰出的
sanctuary 避难所
fad 时尚，狂热
pedestrian 乏味的
contentious 引起争议的；好争议的
incubate 孵化，培养
vanguard 先锋
boon 好处，恩惠
dexterous 机敏的
lackadaisical 无精打采的，懒散的
erratic 难以预测的
nugatory 不重要的，琐碎的
inherent 固有的
temerity 鲁莽，冒失
bureaucracy 官僚机构，规矩复杂的机构
unorthodox 非正统的
meddle 干涉
betoken 表示
proficient 精通的
myopic 目光短浅的
interweave 交织
unprecedented 前所未有的
advent 到来，出现
materialize 显现；实现
overlook 忽略；监督；俯瞰
constrict 限制；压缩
tonic 恢复
convivial 好交际的，欢乐的
authenticate 认证
implement 实施
run of the mill 普通的
archetypical 典型的
autonomy 自治
retrench 删减
incentive 刺激，动力
purveyor 供应商
latent 潜在的
cooperate 合作
unruly 难驾驭的
plodding 单调乏味的
musty 发霉的
defining 起决定性作用的
offset 补偿，抵消
noxious 有害的，有毒的
evanescent 短暂的
inert 不活动的；惰性的
transitory 短暂的
bellicose 好斗的，好战的
patrimony 遗产
ramshackle 破烂的
vapid 乏味的
humility 谦逊
eradicate 根除
discursive 漫谈离题的
unfettered 无拘无束的
anathema 非常讨厌的人或物
vulgar 粗俗的，通俗的
prominent 显著的
invective 恶言谩骂
pliable 柔软的
eulogize 赞美
kinship 亲属关系
martinet 严格执行纪律的人
wary 谨慎的
savvy 悟性
pandemonium 混乱
discredit 使丧失信誉
improvise 即兴创作
wanting 有缺陷的
pan 严厉批评
vague 模糊的，不确定的
effluvium 恶臭，臭气
unkempt 不整洁的
abrade 磨损；折磨
soothsayer 预言者
theatrical 戏剧的；夸张的，做作的
acquaintance 熟人
flag 衰退
deleterious 有害的，有毒的
cinch 有把握的事，很容易的事
countermand 撤销（命令）
aversion 厌恶
suppress 压制，镇压
patchwork 大杂烩
wrench 猛扭；曲解
diffuse 分散的；传播；话多的
indubitable 不容置疑的
rear 培养，抚养
self serving 自私自利的
license 批准，允许
astringent 严厉的
dogmatic 武断的，教条主义的
intoxicate 使陶醉
apt 易于...的；恰当的；聪慧的
champion 支持
imposter 骗子
gawky 笨拙的
embrace 欣然接受
engender 导致
exacting 严格的
sabotage 暗中破坏
covet 贪求
drudgery 苦工，苦差事
tortuous 弯曲的；冗长复杂的
design 故意；设计
tumultuous 骚乱的
distribution 分配；分布
surrender 投降；交出；放任
frenzy 狂暴，疯狂
abreast 平行的，并列的
balk 畏缩不前；阻止
expunge 擦去，删除
parsimonious 吝啬的
employ 使用；雇用
proximity 接近
truculent 好斗的
virtuoso 艺术大师
mishandle 不当地处理；虐待
invoke 祈求；执行；引用
mawkish 多愁善感的
demonize 使妖魔化
embolden 使大胆
vexation 烦恼，苦恼
compelling 激发兴趣的；令人信服的；强大的
honor 荣誉；尊敬
breakaway 分离，逃脱
foresee 预见
underpin 支持，巩固
irritate 激怒
attune 使协调一致
inevitable 必然的
spartan 简朴的；勇敢守纪律的人
compress 压缩，缩短
antedate 先于
agrarian 土地的，耕地的
available 可获得的；有空的
commiserate 同情，怜悯
gratify 使满足，使高兴
christen 命名
revel 狂欢
forthwith 立即，马上
onerous 繁重的
annotate 注释
prodigious 巨大的
block 阻止
proofread 校对
panic 恐慌
retaliate 报复
gallant 英勇的，勇敢的
suffice 足够
reinvent 改造
assuage 安抚，缓和
staunch 坚定的，忠诚的
predicament 困境，窘境
forswear 放弃
peerless 无与伦比的，出类拔萃的
prefigure 预示
fatal 致命的；重大的，决定命运的
volatile 善变的
tender 温柔的；提供
decimate 大量毁灭
avaricious 贪婪的
frugal 简朴的
purview 范围
humiliate 羞辱
composed 镇定的
brusque 简短的，唐突的
collegiality 共同掌权
enfeebl 使衰弱
evince 表明
quotidian 每日的；平凡的
ramification 分支，衍生物
wayward 任性的
zenith 顶峰，顶点
facetious 滑稽的，诙谐的
undercut 削弱
byword 代名词，典型
defame 诽谤
rosy 美好的，乐观的
accept 忍受
unravel 阐明，解开
approximate 大概的；接近于
anecdote 趣闻轶事
lure 诱惑
anthropocentrism 人类中心说
creed 信条，教义
onetime 过去的
commendation 称赞
filter 过滤器
torpor 麻木，懒散
condense 浓缩，精简
erroneous 错误的
appreciate 感激；理解
wrest 抢夺
